new entry "CA_TELEHAND_PASSIVE"
type "StatusData"
data "StatusType" "INVISIBLE"
data "ForGameMaster" "Yes"
data "InitiateCombat" "No"
data "DisplayName" "CA_TELEHAND_PASSIVE_DisplayName"
data "DisplayNameRef" "Telekinetic Hand"
data "Description" "CA_TELEHAND_PASSIVE_Description"
data "DescriptionRef" "Character is a telekinetic hand."
data "Icon" "statIcons_WalkShadow"
data "FormatColor" "White"
data "MaterialType" "Replacement"
data "Material" "8c46ff9c-f39b-43fa-a2bf-4a10f47db0d3"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "Yes"
data "MaterialApplyNormalMap" "No"
data "StatsId" "Stats_CA_TeleHandPassive"
data "StackId" "Stack_CA_TeleHandPassive"
data "IsInvulnerable" "Yes"
data "StatusEffect" "CA_FX_TeleHand_Passive_01:Dummy_Pos_001"

